Name,Region,Altitude,Difficulty,Bog Factor,Distance,Duration,Latitude,Longitude
A' Bhuidheanach Bheag,Cairngorms,936,4,3,19,5-6 hrs,56.9089,-4.2366
A' Chailleach (Fannichs),Ullapool,997,4,4,16,6-8 hrs,57.7374,-5.09
A' Chailleach (Monadhliath),Cairngorms,930,4,3,24.5,8-10 hrs,57.0705,-4.1576
A' Chralaig,Kintail,1120,4,3,13,6-8 hrs,57.1596,-5.1647
A' Ghlas-bheinn,Kintail,918,4,3,21,7-9 hrs,57.2348,-5.3809
A' Mhaighdean,Ullapool,967,5,4,29,12-18 hrs,57.7768,-5.2545
A' Mharconaich,Cairngorms,975,4,3,11.5,4-6 hrs,56.8835,-4.2536
Am Basteir,Isle of Skye,934,5,2,14,6-7 hrs,57.2891,-6.1769
Am Bodach,Fort William,1032,5,2,16,9-12 hrs,56.7777,-5.00034
Am Faochagach,Ullapool,954,4,5,14,5-6 hrs,57.7248,-4.8943
An Caisteal,Loch Lomond,995,4,4,14,5.5-7 hrs,56.379,-4.643
An Coileachan,Ullapool,923,4,4,24.75,9-11 hrs,57.7248,-4.8943
An Gearanach,Fort William,982,5,2,16,9-12 hrs,56.7777,-5.00034
An Riabhachan,Loch Ness,1129,4,4,29,11-14 hrs,57.3399,-4.9615
An Sgarsoch,Cairngorms,1006,4,3,42,11-12 hrs,56.9894,-3.5435
An Socach (Affric),Loch Ness,921,4,3,20,9-11 hrs,57.2322,-5.1834
An Socach (Braemar),Cairngorms,944,3,3,15.75,5-6 hrs,56.9318,-3.4168
An Socach (Mullardoch),Loch Ness,1069,4,4,29,11-14 hrs,57.3399,-4.9615
An Stùc,Perthshire,1118,4,3,16.5,7-8 hrs,56.5295,-4.15186
Aonach Air Chrith,Kintail,1021,4,2,26.75,9-11 hrs,57.156,-5.17815
Aonach Beag (Alder),Cairngorms,1116,4,3,18.5,8-9 hrs,56.8535,-4.4238
Aonach Beag (Nevis Range),Fort William,1234,4,4,16.5,7-10 hrs,56.7777,-5.00031
Aonach Meadhoin,Kintail,1001,4,2,10,6-8 hrs,57.1696,-5.2945
Aonach Mòr,Fort William,1221,4,4,16.5,7-10 hrs,56.7777,-5.00031
Beinn a' Bhùird,Cairngorms,1197,4,2,28,7-9 hrs,57.0017,-3.4554
